name,intel,macos,gcc
ALPS,o x,o
ALPSCore, o, o, o
DSQSS,o,x,o
QUANTUM ESPRESSO,o,x,x
HPhi,o,x,o
KOmega,o,x,x
LAMMPS,o,x,o
mVMC,o,x,o
OpenMX,o,x,x
RESPACK,o,x,x
TeNeS,o,x,x
